2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
9.488383,9.340875,9.408042,9.516281,7.23963,7.001463,7.064313,7.211967,7.102209,5.277226,5.409243
10.051721,9.630534,9.637915,9.817864,7.234605,7.468983,7.599132,7.797761,7.884559,5.623663,6.270745
9.066282,8.880359,8.996004,9.066809,6.709495,6.958122,7.106321,7.079019,7.404313,5.090071,5.085719
9.560776,9.437369,9.367968,9.525808,7.173309,7.137909,7.193316,7.381545,7.334422,5.364534,5.585315
9.040299,9.154062,9.166704,9.270649,7.178229,6.71508,6.723471,6.89696,6.629466,5.072818,5.06629
10.997106,10.47564,10.539251,10.190152,8.188718,9.042834,7.983481,8.195817,8.870886,6.569296,6.959257
11.005681,10.313792,10.519148,10.197298,8.167884,8.738822,7.737889,7.964187,8.709209,6.431219,6.686816
9.827193,8.890172,9.264747,8.941776,7.146683,7.630983,6.666561,6.967195,7.261811,5.925249,5.907063
8.824704,7.984155,8.656812,8.484466,9.541277,7.276622,6.462493,6.779464,6.691576,5.619562,7.343939
12.299815,11.533663,12.222906,12.076656,9.373496,9.37704,8.751687,9.48024,9.408804,6.884075,7.326765
10.34417,10.501497,10.977316,10.943896,8.702986,8.003675,7.658263,8.058357,8.340751,5.579047,5.652368
11.129872,10.990751,11.82294,11.74131,9.836198,8.6978,8.0608,8.874435,8.971605,5.836648,6.368161
11.251631,11.259765,11.916656,11.880144,9.576637,8.691819,8.014442,8.907384,9.026621,5.819544,6.100815
10.080112,10.04126,10.24911,10.218007,8.011595,7.738846,7.535888,7.793974,8.105583,5.619603,5.559461
12.226993,11.524028,11.933305,11.740567,9.961496,11.132929,10.140073,8.9147,10.277311,7.264987,7.403999
13.207147,12.233949,12.46391,12.231383,10.444346,11.186254,10.38092,9.98177,10.518349,7.687941,8.090559
11.177956,10.674443,11.221971,10.92327,9.39102,9.605562,9.030015,8.838681,9.393298,6.43067,6.347116
12.862965,12.025174,12.486984,12.31352,10.27956,11.201247,10.218613,9.306997,10.394022,7.493226,7.73401
9.16029,8.722598,9.479457,9.250412,7.703351,8.315665,7.177035,7.266424,7.557204,5.520285,5.619375
9.834053,9.60905,10.042776,9.787277,8.209466,8.414336,7.273997,7.382386,8.462532,5.643224,5.915677
11.404692,10.459036,10.914764,10.515086,8.576863,9.079158,7.89994,7.795692,9.467923,6.452935,6.789689
10.271728,9.311793,9.985397,9.570483,7.839771,9.026176,8.069756,8.109463,7.726195,6.705252,6.549342
11.776392,10.82642,11.261916,10.987586,8.684792,10.087074,9.043945,9.423762,8.930729,7.683016,7.282653
10.120945,9.20634,9.813746,9.536223,7.774679,8.67098,7.794773,7.83834,7.693921,6.530518,6.431525
11.033279,10.203641,10.782398,10.396498,8.569222,9.389328,8.60391,8.714295,8.400614,6.915731,6.830937
10.202718,9.065325,9.528763,8.929565,9.647218,8.566716,7.745903,7.007325,7.212929,6.478468,6.449437
9.263331,8.259122,8.787231,8.245196,7.86395,7.986998,7.18416,6.039822,6.869105,6.152434,6.163435
11.742839,10.754658,11.29037,10.789293,9.073403,10.042413,9.380985,9.351537,8.482988,7.268238,7.114261
11.801018,11.319704,11.878621,11.620605,9.686059,9.872234,9.416956,9.627741,9.874945,7.071662,6.47772
13.928275,12.359115,12.319623,11.806066,9.759661,10.636378,11.289781,10.971506,11.261149,8.031709,7.990505
12.47228,11.165115,11.796807,11.508443,10.569186,10.720312,10.12324,9.91438,9.686211,7.8614,7.338011
13.463884,12.23365,12.641798,12.268229,10.547724,11.261797,11.016303,10.859483,10.714733,8.339957,7.447162
12.485822,11.305139,11.888554,11.638777,10.078564,11.285908,10.595568,10.460587,10.120923,8.267044,6.720678
12.606089,10.918412,10.962835,10.310301,8.370238,10.355237,10.041425,10.008895,9.474255,7.912283,7.453442
11.971328,10.85946,11.055677,10.522352,8.618549,9.781226,9.211879,9.181798,8.144947,7.159175,6.755501
13.237318,12.01991,12.062155,11.633405,9.128941,11.288754,10.766576,11.162703,10.141131,8.660273,7.739186
14.812055,13.301352,13.238489,12.800255,9.940886,11.520911,11.614101,11.62749,11.348888,8.766175,8.312778
13.196568,11.713729,11.657669,11.066311,8.858373,10.464101,10.314982,10.268854,9.948665,7.915255,7.499804
12.741073,11.387925,11.428446,10.835667,8.819292,10.505664,10.102306,10.136281,9.447745,7.916695,7.393729
12.319246,11.172153,11.410563,10.939995,9.248316,10.156876,10.163915,9.992035,10.190079,7.46473,7.06386
12.020213,10.604313,10.604341,9.8058,8.731171,10.540145,10.289906,9.912228,9.173328,7.421917,6.54136
13.003401,11.429139,11.584166,10.939508,10.692851,11.976881,10.935527,11.22068,9.660036,8.454746,7.779152
13.837053,12.176199,12.10418,11.592544,10.18547,11.635054,10.402417,10.79688,8.984199,8.178258,7.636148
10.436191,9.154244,9.61628,8.900245,7.684262,9.173437,8.390452,8.241942,7.251021,6.671851,6.001052
8.047122,7.640897,8.03579,8.097002,6.212136,5.671036,5.686948,5.827381,5.29597,4.544686,4.604271
9.942254,9.271961,9.65688,9.393892,7.8147,7.875584,6.670173,6.651858,8.168338,5.611921,6.173008
9.678368,9.252422,9.577543,9.323165,7.82773,7.830103,6.760565,6.926699,7.952522,5.611133,6.083968
8.946311,8.567801,9.071781,8.816316,7.402437,7.76968,6.621597,6.849013,7.522194,5.201285,5.369158
8.947595,7.985994,8.57832,7.749641,7.220612,6.879621,6.288168,5.837625,5.693693,5.501609,5.358332
10.70082,9.745487,10.247152,9.73104,7.997184,9.191865,8.487559,8.412403,7.441887,6.722062,6.495722
11.953977,11.09238,11.501612,11.063184,9.458736,9.841806,9.904703,9.640477,9.878793,7.126939,6.825755
12.491182,11.3707,11.614236,11.119661,9.474017,9.898138,10.280994,9.938852,10.294219,7.341906,7.203236
7.287949,6.908252,7.272081,7.321292,5.633525,5.349705,5.483636,5.380894,5.031758,3.955309,3.950732
10.986996,9.594865,10.112167,9.483328,8.40941,9.679566,8.959409,8.774919,7.709168,7.219216,6.862782
10.005939,9.050967,9.58347,9.027585,7.488354,8.596834,8.038456,7.517362,7.069015,6.377269,6.10894
12.273361,10.873519,11.014615,10.485749,8.72653,9.822749,9.907913,9.675753,9.802166,7.323824,7.045564
