Mean PM10 South,Mean Happiness South,,Mean PM10 North,Mean Happiness North
15.04262682,7.671818182,,12.44181264,7.357272727
12.270889,7.55,,12.54980609,7.336363636
12.81096009,7.456363636,,11.66194427,7.445454545
14.33889555,7.192727273,,12.40517636,7.41
12.60840545,7.470909091,,12.18073055,7.428181818
13.95301909,7.451818182,,13.55063973,7.328181818
13.13511,7.432727273,,13.50730618,7.463636364
11.91011645,7.416363636,,11.30009582,7.417272727
14.69672191,7.411818182,,11.01795873,7.274545455
15.98895727,7.398181818,,15.30149927,7.283636364
16.30568873,7.472727273,,14.79477564,7.577272727
14.93167009,7.450909091,,15.5232,7.411818182
16.580101,7.395454545,,16.00289709,7.499090909
15.37601473,7.365454545,,13.65596718,7.409090909
14.17120682,7.43,,15.35880118,7.387272727
14.37352982,7.545454545,,15.97002155,7.39
15.52061364,7.457272727,,15.04262682,7.671818182
16.84799773,7.333636364,,15.822331,7.227272727
14.94791391,7.536363636,,12.270889,7.55
14.78586109,7.570909091,,13.30597373,7.385454545
15.43248764,7.410909091,,13.39783573,7.327272727
14.213529,7.262727273,,15.98895727,7.398181818
15.49644082,7.474545455,,15.43248764,7.410909091
15.37753627,7.362727273,,9.660559727,7.346363636
12.62829809,7.546363636,,11.95098727,7.523636364
12.00870155,7.548181818,,12.15645664,7.483636364
13.37063336,7.539090909,,11.77534164,7.558181818
15.50734764,7.456363636,,15.50734764,7.456363636
15.72846855,7.566363636,,8.933818727,7.429090909
13.08158364,7.434545455,,14.550209,7.530909091
12.75734673,7.622727273,,16.27706055,7.230909091
14.550209,7.530909091,,15.91671973,7.476363636
15.95286336,7.422727273,,7.930435636,7.646363636
16.11706836,7.56,,9.888910273,7.272727273
16.27706055,7.230909091,,8.437193727,7.380909091
15.91671973,7.476363636,,8.225690455,7.613636364
16.04169627,7.500909091,,7.984746,7.6
11.94879845,7.730909091,,8.537687,7.596363636
12.95090364,7.459090909,,13.77590018,7.575454545
11.76238,7.556363636,,15.84870455,7.355454545
10.90492745,7.688181818,,14.02153745,7.526363636
11.31924964,7.665454545,,11.73369082,7.486363636
11.40130445,7.611818182,,15.46377982,7.546363636
11.19667391,7.57,,10.59893045,7.522727273
10.71039791,7.602727273,,13.36885355,7.53
13.08455436,7.331818182,,14.60104018,7.526363636
14.05566209,7.427272727,,13.56507255,7.642727273
13.72335173,7.511818182,,12.68678609,7.382727273
13.51211173,7.615454545,,13.63879455,7.519090909
13.22336527,7.504545455,,10.82579245,7.325454545
15.99039609,7.412727273,,12.31346545,7.581818182
16.17306527,7.576363636,,11.27527427,7.766363636
16.66282227,7.324545455,,11.78661927,7.405454545
14.94879818,7.48,,9.356166455,7.411818182
16.35113191,7.584545455,,10.14604182,7.508181818
15.75478327,7.371818182,,11.52325545,7.39
16.642722,7.519090909,,9.573973545,7.741818182
16.19561055,7.32,,11.14085836,7.440909091
15.28840618,7.524545455,,12.19911191,7.425454545
15.02549373,7.553636364,,13.04348045,7.409090909
15.08600355,7.396363636,,10.65878555,7.633636364
16.16573027,7.648181818,,15.48313082,7.620909091
13.638534,7.38,,15.66895373,7.554545455
13.56507255,7.642727273,,14.47441818,7.495454545
12.68678609,7.382727273,,14.95890227,7.526363636
14.39220273,7.321818182,,15.33335745,7.625454545
13.12722464,7.452727273,,15.58602036,7.574545455
13.63879455,7.519090909,,15.49986273,7.559090909
14.24685955,7.582727273,,16.42164391,7.366363636
13.86080327,7.485454545,,16.50149873,7.659090909
14.70995745,7.48,,16.28246409,7.280909091
14.60063955,7.597272727,,16.074722,7.640909091
13.90342264,7.413636364,,15.966506,7.661818182
13.91313182,7.65,,15.495952,7.571818182
14.143509,7.523636364,,8.946257273,7.677272727
12.47331827,7.580909091,,12.37067618,7.74
14.60011545,7.617272727,,11.11402009,7.601818182
13.72064718,7.510909091,,12.36100427,7.666363636
14.12987227,7.642727273,,11.33776736,7.364545455
15.92148164,7.424545455,,14.99211527,7.453636364
14.95331909,7.447272727,,15.41603882,7.414545455
16.34643245,7.466363636,,15.97750482,7.558181818
15.58527936,7.575454545,,15.75880845,7.526363636
15.43625409,7.658181818,,15.54201245,7.318181818
15.80141245,7.550909091,,15.17096464,7.358181818
14.68177855,7.572727273,,16.46656536,7.499090909
14.60354491,7.399090909,,16.11057445,7.508181818
16.86614282,7.436363636,,14.82545436,7.542727273
14.72027727,7.372727273,,14.32338582,7.481818182
14.99816891,7.512727273,,13.52596327,7.270909091
14.72994345,7.600909091,,12.80929245,7.461818182
14.37702191,7.533636364,,14.25665009,7.698181818
14.86258036,7.437272727,,12.76340055,7.493636364
14.98843264,7.367272727,,13.71673182,7.571818182
15.042572,7.550909091,,12.80557327,7.421818182
13.71989482,7.42,,11.46898427,7.683636364
16.28246409,7.280909091,,15.043799,7.353636364
16.074722,7.640909091,,14.98813955,7.528181818
15.26419864,7.59,,15.04137045,7.419090909
15.27699673,7.461818182,,14.72715127,7.565454545
14.51882245,7.366363636,,13.95755964,7.618181818
15.495952,7.571818182,,14.338052,7.550909091
15.02432136,7.568181818,,14.02408909,7.488181818
15.35358464,7.301818182,,12.79208227,7.533636364
15.49801691,7.503636364,,13.29200327,7.412727273
14.82545436,7.542727273,,14.11384373,7.395454545
15.66093291,7.418181818,,13.76543791,7.636363636
14.31983545,7.564545455,,12.81176282,7.456363636
14.61723909,7.433636364,,12.95884345,7.35
14.32338582,7.481818182,,12.98110573,7.397272727
12.64756091,7.465454545,,13.94682091,7.220909091
12.27584573,7.586363636,,12.29337418,7.288181818
13.042804,7.531818182,,12.352701,7.283636364
15.824463,7.746363636,,14.00821718,7.249090909
16.16226473,7.296363636,,12.60034855,7.414545455
16.20199555,7.641818182,,12.92434209,7.337272727
15.36763855,7.605454545,,13.45782855,7.450909091
15.25447136,7.498181818,,13.21816527,7.493636364
14.00296573,7.36,,13.871596,7.191818182
14.13125064,7.637272727,,13.20397209,7.155454545
14.964982,7.466363636,,13.77096218,7.282727273
15.28340382,7.452727273,,11.77287582,7.364545455
15.91759764,7.517272727,,11.56273718,7.270909091
14.51730064,7.424545455,,12.67927191,7.353636364
14.72102373,7.578181818,,15.44573927,7.374545455
