Mean PM2.5 South,Mean Happiness South,,Mean PM2.5 North,Mean Happiness North
9.366727455,7.671818182,,7.641784727,7.357272727
7.797463273,7.55,,8.092498364,7.336363636
8.469577818,7.456363636,,7.403864909,7.445454545
9.635298636,7.192727273,,7.732933727,7.41
8.310180909,7.470909091,,7.355820727,7.428181818
9.076350273,7.451818182,,8.910221636,7.328181818
8.257669727,7.432727273,,8.770176818,7.463636364
7.528616727,7.416363636,,7.675403,7.417272727
9.571907727,7.411818182,,7.605915455,7.274545455
9.877024091,7.398181818,,9.885013364,7.283636364
10.94125164,7.472727273,,8.614756909,7.577272727
10.28685318,7.450909091,,9.302774545,7.411818182
10.98133818,7.395454545,,9.313223455,7.499090909
10.44068764,7.365454545,,8.268494455,7.409090909
9.855764727,7.43,,10.22912618,7.387272727
9.387444727,7.545454545,,10.766048,7.39
10.71275927,7.457272727,,9.366727455,7.671818182
11.57121636,7.333636364,,10.57421073,7.227272727
10.26402827,7.536363636,,7.797463273,7.55
10.06498391,7.570909091,,8.234070364,7.385454545
10.01106982,7.410909091,,9.032343455,7.327272727
9.604065636,7.262727273,,9.877024091,7.398181818
10.69782609,7.474545455,,10.01106982,7.410909091
10.68440018,7.362727273,,6.333021727,7.346363636
8.320088818,7.546363636,,7.930051727,7.523636364
6.912837273,7.548181818,,7.893110727,7.483636364
8.652107364,7.539090909,,7.467052091,7.558181818
9.844396545,7.456363636,,9.844396545,7.456363636
10.09337645,7.566363636,,5.779557545,7.429090909
8.890166,7.434545455,,9.722885727,7.530909091
8.078562818,7.622727273,,9.848032636,7.230909091
9.722885727,7.530909091,,9.843523091,7.476363636
10.34258636,7.422727273,,5.271103545,7.646363636
9.881900636,7.56,,6.459765091,7.272727273
9.848032636,7.230909091,,5.638910636,7.380909091
9.843523091,7.476363636,,5.398457273,7.613636364
9.961213909,7.500909091,,5.48181,7.6
7.508882273,7.730909091,,5.746450273,7.596363636
8.193224909,7.459090909,,9.121371636,7.575454545
7.281194909,7.556363636,,9.802344364,7.355454545
6.795780909,7.688181818,,9.126088091,7.526363636
6.907168455,7.665454545,,7.853807818,7.486363636
7.130369727,7.611818182,,10.11212327,7.546363636
6.755280182,7.57,,7.281933545,7.522727273
6.634853727,7.602727273,,8.772821818,7.53
8.959503909,7.331818182,,9.451564636,7.526363636
9.541594364,7.427272727,,8.734187818,7.642727273
9.064096182,7.511818182,,8.379071,7.382727273
8.963962455,7.615454545,,8.92122,7.519090909
8.891043091,7.504545455,,7.452117364,7.325454545
10.648229,7.412727273,,7.976895455,7.581818182
10.02931764,7.576363636,,7.252919,7.766363636
10.65260245,7.324545455,,7.923309455,7.405454545
10.31502427,7.48,,6.286675273,7.411818182
10.35704691,7.584545455,,7.073923727,7.508181818
10.02089682,7.371818182,,7.516039455,7.39
10.64530045,7.519090909,,6.559652727,7.741818182
10.68447764,7.32,,7.503063455,7.440909091
9.761715,7.524545455,,7.894377182,7.425454545
9.89026,7.553636364,,7.971568273,7.409090909
9.707753455,7.396363636,,6.928256545,7.633636364
10.02308318,7.648181818,,10.036267,7.620909091
9.238624545,7.38,,10.034038,7.554545455
8.734187818,7.642727273,,9.319024,7.495454545
8.379071,7.382727273,,9.683323182,7.526363636
9.694103455,7.321818182,,9.434083182,7.625454545
8.659098,7.452727273,,9.991062273,7.574545455
8.92122,7.519090909,,9.091056364,7.559090909
9.262743545,7.582727273,,9.860953909,7.366363636
9.099574091,7.485454545,,9.613203273,7.659090909
10.06653464,7.48,,9.694984727,7.280909091
