PM10 level,Happiness,Year
4.505943,7.36,2020
4.50235,7.46,2020
4.507749,7.94,2020
4.509244,7.69,2020
4.511289,7.14,2020
4.512254,7.1,2020
4.503792,7.56,2020
4.510161,7.55,2020
4.512024,7.3,2020
4.514179,7.19,2020
4.515902,7.51,2020
4.519494,7.07,2020
4.532603,7.36,2020
4.533124,7.4,2020
4.505594,7.41,2020
4.512499,7.17,2020
4.514904,7.07,2020
4.518219,6.75,2020
4.520733,7.26,2020
4.528573,7.27,2020
4.549324,7.79,2020
4.538613,7.29,2020
4.505524,7.51,2020
4.506161,7.4,2020
4.507885,7.57,2020
4.515639,7.06,2020
4.520484,7.35,2020
4.52196,7.37,2020
4.526655,6.58,2020
4.548264,7.48,2020
4.571649,6.85,2020
4.542392,7.34,2020
4.526556,7.46,2020
4.506249,7.45,2020
4.507343,7.73,2020
4.510265,7.39,2020
4.519967,7.42,2020
4.527708,7.63,2020
4.528543,7.65,2020
4.537178,7.09,2020
4.622567,7.27,2020
4.58949,7.29,2020
4.546091,7.32,2020
4.507903,7.38,2020
4.509404,7.79,2020
4.515318,6.8,2020
4.526141,7.54,2020
4.53687,7.5,2020
4.536927,7.37,2020
4.560184,7.6,2020
4.91713,7.28,2020
4.592595,7.33,2020
4.553992,6.99,2020
4.50829,7.52,2020
4.508848,7.64,2020
4.511054,7.54,2020
4.529781,7.25,2020
4.536636,7.83,2020
4.534288,7.6,2020
4.542633,7.56,2020
4.612957,7.74,2020
4.697028,8.04,2020
4.661662,8.01,2020
4.551839,7.66,2020
4.507842,7.38,2020
4.518333,7.32,2020
4.526722,7.72,2020
4.59602,7.03,2020
4.530216,7.11,2020
4.540755,7.72,2020
4.797293,7.42,2020
4.871194,7.24,2020
4.626719,7.44,2020
4.534965,7.5,2020
4.507645,7.42,2020
4.554431,7.39,2020
4.522668,7.64,2020
4.531693,7.49,2020
4.534678,7.3,2020
4.554367,7.21,2020
4.749609,7.41,2020
4.766014,7.34,2020
4.507782,7.41,2020
4.514503,7.14,2020
4.529668,7.33,2020
4.540406,7.4,2020
4.550276,7.06,2020
4.639843,7.4,2020
4.618024,7.67,2020
5.184282,7.39,2020
4.528242,7.44,2020
4.508966,7.4,2020
4.523881,7.75,2020
4.538658,7.52,2020
4.543608,7.56,2020
4.55548,7.32,2020
4.558044,7.58,2020
4.541286,7.78,2020
4.540975,7.06,2020
4.526729,7.24,2020
4.511474,7.48,2020
4.509407,6.86,2020
4.51302,7.33,2020
4.571833,7.5,2020
4.536122,7.42,2020
4.544704,7.77,2020
4.544483,7.2,2020
4.534929,7.51,2020
4.577127,7.03,2020
4.599526,7.72,2020
4.563151,7.5,2020
4.506911,7.65,2020
4.492518,7.35,2020
4.496167,7.19,2020
4.511689,7.55,2020
4.511729,7.41,2020
4.532413,7.31,2020
4.830367,7.22,2020
4.545715,7.34,2020
4.555659,7.41,2020
4.553257,7.2,2020
4.527981,7.52,2020
4.658216,7.3,2020
4.506525,7.23,2020
4.506258,7.51,2020
4.493247,7.16,2020
4.500429,7.19,2020
4.509193,7.15,2020
4.509905,7.42,2020
4.522258,7.44,2020
4.547131,7.14,2020
4.538099,7.05,2020
4.513622,7.39,2020
4.619053,7.23,2020
4.512124,7.75,2020
4.702842,7.53,2020
4.597342,7.19,2020
4.564438,7.71,2020
4.519245,7.14,2020
4.506298,8.31,2020
4.493807,7.23,2020
4.516687,7.28,2020
4.510812,7.58,2020
4.520763,6.94,2020
4.543805,7.49,2020
4.57794,7.42,2020
4.559387,7.4,2020
4.526859,6.81,2020
4.51773,7.39,2020
4.516988,7.28,2020
4.518546,6.92,2020
4.51619,6.97,2020
4.627476,7.57,2020
4.867113,7.08,2020
4.635285,6.85,2020
4.508532,7.25,2020
4.504047,7.21,2020
4.495047,7.14,2020
4.60332,7.5,2020
4.50703,7,2020
4.541469,7.14,2020
4.623347,6.97,2020
4.580339,7.27,2020
4.555167,7.87,2020
4.540019,7.23,2020
4.525898,7.42,2020
4.526473,7.28,2020
4.519748,7.54,2020
4.537415,7.38,2020
4.612692,7.32,2020
4.576226,6.96,2020
4.52385,7.42,2020
4.505391,7.38,2020
4.502624,7.48,2020
4.497085,7.2,2020
4.508628,7.34,2020
4.509421,7.25,2020
4.551014,7.22,2020
5.058009,7.21,2020
4.572044,7.17,2020
4.542043,7.32,2020
4.602194,7.31,2020
4.534069,7.4,2020
4.558788,7.12,2020
4.517356,7.21,2020
4.647117,7.26,2020
4.81999,7.28,2020
4.790442,7.49,2020
4.509539,7.25,2020
4.506712,7.11,2020
4.503937,7.3,2020
4.502542,7.25,2020
4.517899,7.29,2020
4.512717,7.1,2020
4.73842,7.49,2020
4.646768,7.16,2020
4.587293,7.43,2020
4.531983,7.39,2020
4.537169,7.37,2020
4.538225,7.45,2020
4.558251,6.86,2020
4.516582,7.2,2020
4.558861,7.43,2020
4.522615,7.45,2020
4.516653,7.72,2020
4.513441,7.31,2020
4.510311,7.26,2020
4.505556,7.31,2020
4.533561,7.12,2020
4.523395,7.33,2020
4.51988,7.03,2020
4.518526,7.3,2020
5.054129,7.33,2020
4.60433,7.13,2020
4.546067,7.06,2020
4.584471,7.23,2020
4.564134,7.51,2020
4.528818,7.37,2020
4.512127,7.97,2020
4.511118,7.23,2020
4.525445,7.19,2020
4.520413,7.22,2020
4.508828,7.09,2020
4.508661,7.71,2020
4.504496,7.58,2020
4.727973,7.34,2020
4.556287,7.76,2020
4.547892,7.51,2020
4.530997,7.84,2020
5.099382,7.19,2020
4.625308,7.14,2020
4.592269,7.23,2020
4.857944,7.05,2020
4.593451,6.97,2020
4.533589,7.14,2020
4.523704,7.56,2020
4.520571,7.28,2020
4.52013,7.4,2020
4.51688,7.45,2020
4.514064,7.42,2020
4.512905,7.35,2020
4.508893,7.64,2020
4.619646,7.6,2020
4.718981,7.72,2020
4.614833,7.16,2020
4.530429,7.11,2020
4.566128,7.36,2020
4.583024,7.23,2020
4.719851,7.26,2020
4.704816,6.89,2020
4.553405,7.05,2020
4.525138,7.33,2020
4.516609,7.11,2020
4.515481,7.2,2020
4.512573,7.21,2020
4.51406,7.39,2020
4.5077,7.16,2020
4.508657,7.37,2020
4.510298,7.13,2020
4.554656,7.51,2020
4.525947,7.07,2020
4.525296,7.48,2020
4.562256,7.36,2020
4.813537,7.24,2020
4.670773,6.66,2020
4.768793,6.74,2020
4.526464,7,2020
4.520251,7.91,2020
4.511964,7.3,2020
4.511231,7.44,2020
4.488723,7.3,2020
4.488415,7.36,2020
4.508313,7.32,2020
4.509221,7.37,2020
4.510001,7.3,2020
4.511266,7.41,2020
4.532386,7.43,2020
4.521729,7.61,2020
4.532845,7.31,2020
4.548802,7.33,2020
4.533315,7.37,2020
4.522009,7.29,2020
4.520803,7.34,2020
4.515717,7.01,2020
4.514217,7.67,2020
4.488646,7.31,2020
4.505445,7.51,2020
4.509355,7.49,2020
4.510257,7.07,2020
4.510063,7.29,2020
4.511238,7.37,2020
4.512466,7.51,2020
4.519836,7.17,2020
4.525206,7.5,2020
4.521905,7.39,2020
4.522664,7.38,2020
4.517902,7.37,2020
4.517253,7.18,2020
4.514778,7.39,2020
4.513937,7.35,2020
4.513461,7.38,2020
4.511682,7.4,2020
4.489663,7.41,2020
4.489094,7.06,2020
4.506585,7.32,2020
4.510467,7.74,2020
4.511369,7.66,2020
4.510838,7.59,2020
4.510884,7.69,2020
4.512103,7.47,2020
4.518493,7.57,2020
4.52317,7.46,2020
4.522671,7.75,2020
4.518889,7.36,2020
4.514823,7.13,2020
4.515472,7.23,2020
4.514508,7.37,2020
4.513654,7.28,2020
4.512882,7.3,2020
4.513018,6.52,2020
4.63973,7.71,2020
4.511152,7.32,2020
4.511399,7.17,2020
4.491069,7.68,2020
4.490637,,2020
4.490662,,2020
4.505968,,2020
4.506962,,2020
4.510575,,2020
4.5157,,2020
4.512284,,2020
4.512095,,2020
4.513161,,2020
4.525181,,2020
4.519308,,2020
4.530216,,2020
4.515534,,2020
4.513266,,2020
4.516078,,2020
4.514737,,2020
4.517068,,2020
4.515939,,2020
4.513044,,2020
4.512978,,2020
4.512487,,2020
4.51329,,2020
4.517377,,2020
4.512344,,2020
4.510376,,2020
4.48902,,2020
4.494726,,2020
4.497937,,2020
4.494997,,2020
4.491373,,2020
4.491761,,2020
4.491915,,2020
4.506402,,2020
4.50752,,2020
4.510405,,2020
4.513142,,2020
4.514768,,2020
4.513886,,2020
4.515008,,2020
4.531162,,2020
4.539952,,2020
4.530791,,2020
4.514187,,2020
4.513118,,2020
4.513721,,2020
4.513401,,2020
4.513972,,2020
4.515624,,2020
4.515235,,2020
4.51435,,2020
4.51392,,2020
4.513174,,2020
4.513251,,2020
4.543416,,2020
4.513242,,2020
4.510809,,2020
4.493452,,2020
4.50143,,2020
4.504016,,2020
4.497499,,2020
4.492997,,2020
4.493693,,2020
4.494851,,2020
4.495121,,2020
4.508085,,2020
4.508651,,2020
4.511692,,2020
4.513412,,2020
4.518094,,2020
4.523487,,2020
4.525679,,2020
4.530458,,2020
4.535141,,2020
4.520997,,2020
4.514422,,2020
4.513287,,2020
4.514311,,2020
4.51415,,2020
4.514612,,2020
4.516013,,2020
4.519462,,2020
4.517801,,2020
4.517158,,2020
4.516184,,2020
4.515156,,2020
4.515182,,2020
4.51599,,2020
4.512525,,2020
4.502553,,2020
4.509346,,2020
4.507153,,2020
4.498479,,2020
4.493917,,2020
4.496912,,2020
4.503873,,2020
4.504164,,2020
4.512123,,2020
4.514116,,2020
4.519858,,2020
4.526555,,2020
4.521014,,2020
4.516182,,2020
4.51761,,2020
4.532289,,2020
4.545402,,2020
4.522053,,2020
4.517479,,2020
4.515338,,2020
4.513382,,2020
4.51469,,2020
4.514966,,2020
4.517362,,2020
4.529668,,2020
4.5197,,2020
4.51446,,2020
4.515731,,2020
4.516232,,2020
4.51181,,2020
4.531353,,2020
4.525119,,2020
4.50707,,2020
4.497025,,2020
4.492821,,2020
4.496885,,2020
4.516434,,2020
4.501082,,2020
4.512743,,2020
4.517236,,2020
4.53054,,2020
4.518301,,2020
4.516418,,2020
4.515236,,2020
4.515434,,2020
4.519908,,2020
4.520908,,2020
4.51918,,2020
4.519073,,2020
4.515022,,2020
4.513437,,2020
4.511438,,2020
4.513205,,2020
4.519451,,2020
4.514573,,2020
4.51122,,2020
4.514359,,2020
4.512955,,2020
4.516307,,2020
4.540602,,2020
4.507942,,2020
4.496307,,2020
4.494409,,2020
4.49874,,2020
4.509117,,2020
4.501397,,2020
4.515879,,2020
4.517253,,2020
4.523062,,2020
4.540246,,2020
4.523151,,2020
4.520456,,2020
4.519653,,2020
4.519319,,2020
4.522457,,2020
4.521868,,2020
4.521873,,2020
4.519786,,2020
4.517882,,2020
4.511878,,2020
4.510373,,2020
4.521681,,2020
4.548403,,2020
4.508966,,2020
4.511906,,2020
4.510838,,2020
4.516953,,2020
4.529284,,2020
4.528134,,2020
4.505727,,2020
4.49471,,2020
4.49457,,2020
4.499389,,2020
4.50596,,2020
4.503285,,2020
4.518754,,2020
4.524955,,2020
4.538327,,2020
4.524205,,2020
4.521868,,2020
4.520574,,2020
4.520057,,2020
4.52267,,2020
4.522377,,2020
